STUSPS,STATE,VACANCIES,UNDERQUALIFIED,VACANCY_YEAR,UNDERQUALIFIED_YEAR,SALARY_2020_2021,MIN_LIV_WAGE_2020,SALARY_REL_MLW,GRAD_RATE_2018_2019,STUDENTS_REL_COUNT_2020_2021,EXPENDITURES_DISTRICT_DIFF_2011_2012,EXPENDITURES_2019_2020
AL,Alabama,40.84,68.69,2021-2022,2017-2018,54271.00,48111.00,6160.00,92,15.3,-4.40,10235.00
AK,Alaska,,4.08,2021-2022,2017-2018,73061.00,63956.00,9105.00,80,17.6,4.65,18236.00
AZ,Arizona,15.22,32.56,2021-2022,2021-2022,52157.00,52528.00,-371.00,78,18.1,-14.08,9341.00
AR,Arkansas,,30.8,2017-2018,2017-2018,51668.00,44463.00,7205.00,88,15.2,2.53,10288.00
CA,California,,38.88,2018-2019,2018-2019,85856.00,54070.00,31786.00,85,22.2,3.51,14119.00
CO,Colorado,2.66,10.11,2020-2021,2020-2021,58183.00,53043.00,5140.00,81,15.3,-0.16,12646.00
CT,Connecticut,4.47,9.57,2014-2015,2014-2015,79742.00,63303.00,16439.00,89,12.3,-8.66,21387.00
DE,Delaware,14.85,20.57,2020-2021,2017-2018,65141.00,59978.00,5163.00,89,14.1,-0.52,16107.00
DC,District of Columbia,17.8,236.97,2021-2022,2017-2018,80659.00,78904.00,1755.00,69,11.7,,22637.00
FL,Florida,14.02,59.45,2021-2022,2021-2022,51009.00,49625.00,1384.00,87,19.6,3.98,10273.00
GA,Georgia,17.59,29.5,2019-2020,2017-2018,60553.00,47638.00,12915.00,82,14.8,2.31,11856.00
HI,Hawaii,20.63,40.69,2020-2021,2017-2018,70922.00,82158.00,-11236.00,85,15.7,,16191.00
ID,Idaho,15.6,15.8,2017-2018,2017-2018,51817.00,49343.00,2474.00,81,17.7,-3.93,7971.00
IL,Illinois,8.76,1.73,2021-2022,2021-2022,70705.00,52809.00,17896.00,86,14.3,-16.74,16553.00
IN,Indiana,9.48,9.21,2020-2021,2017-2018,53072.00,50562.00,2510.00,87,16.9,17.12,10820.00
IA,Iowa,,1.17,2017-2018,2017-2018,58831.00,51875.00,6956.00,92,13.3,0.12,11572.00
KS,Kansas,24.91,15.49,2021-2022,2017-2018,53619.00,52793.00,826.00,87,13.6,4.47,12285.00
KY,Kentucky,12.24,3.72,2020-2021,2017-2018,54139.00,49324.00,4815.00,91,16.3,-4.97,12089.00
LA,Louisiana,,148.64,2019-2020,2019-2020,52472.00,49467.00,3005.00,80,14.3,5.60,11867.00
ME,Maine,38.23,26.91,2017-2018,2017-2018,57167.00,54307.00,2860.00,87,11.7,-5.00,16161.00
MD,Maryland,11.33,41.45,2021-2022,2021-2022,74006.00,50383.00,23623.00,87,14.1,-4.93,15725.00
MA,Massachusetts,,81.26,2020-2021,2020-2021,86755.00,61322.00,25433.00,88,12.1,7.33,20024.00
MI,Michigan,3.52,5.92,2019-2020,2017-2018,64262.00,47235.00,17027.00,81,17.2,-1.63,10977.00
MN,Minnesota,1.13,50.44,2019-2020,2019-2020,66561.00,52283.00,14278.00,84,15.5,15.36,13502.00
MS,Mississippi,68.59,34.36,2021-2022,2017-2018,46862.00,47142.00,-280.00,85,13.9,1.86,9418.00
MO,Missouri,0.43,40.2,2020-2021,2020-2021,51557.00,46944.00,4613.00,90,11.3,-16.97,10315.00
MT,Montana,22.41,6.01,2016-2017,2017-2018,53133.00,53181.00,-48.00,87,13.7,-0.71,12174.00
NE,Nebraska,1.29,5.39,2020-2021,2020-2021,56463.00,52132.00,4331.00,88,12.3,3.83,12926.00
NV,Nevada,16.99,22.17,2018-2019,2017-2018,58167.00,56791.00,1376.00,84,21.5,-15.33,9547.00
NH,New Hampshire,,348.79,2020-2021,2020-2021,61849.00,61451.00,398.00,88,10,1.39,17391.00
NJ,New Jersey,1.08,68.82,2021-2022,2021-2022,77677.00,64342.00,13335.00,91,11.5,8.91,21880.00
NM,New Mexico,33.08,22.91,2021-2022,2017-2018,54923.00,46755.00,8168.00,75,14.8,4.07,12608.00
NY,New York,,19.55,2017-2018,2017-2018,90222.00,54870.00,35352.00,83,11.5,-11.80,26454.00
NC,North Carolina,11.22,97.92,2020-2021,2017-2018,53458.00,48346.00,5112.00,87,14.6,4.94,10301.00
ND,North Dakota,12.74,4.39,2018-2019,2017-2018,54837.00,50535.00,4302.00,88,10.8,8.92,14691.00
OH,Ohio,,3.18,2017-2018,2017-2018,63082.00,47760.00,15322.00,82,17.2,-1.31,13001.00
OK,Oklahoma,7.07,17.7,2018-2019,2018-2019,54762.00,47322.00,7440.00,85,16.2,3.73,9830.00
OR,Oregon,,6.56,2017-2018,2017-2018,68565.00,61045.00,7520.00,80,18.2,4.08,13270.00
PA,Pennsylvania,1.99,6.28,2017-2018,2017-2018,71479.00,47690.00,23789.00,87,14,-33.47,17767.00
RI,Rhode Island,6.68,12.93,2021-2022,2017-2018,75966.00,61322.00,14644.00,84,13,-10.45,17719.00
SC,South Carolina,12.23,8.24,2021-2022,2017-2018,53188.00,45477.00,7711.00,81,14.6,4.62,12109.00
SD,South Dakota,8.61,5.1,2021-2022,2017-2018,49547.00,51278.00,-1731.00,84,13.8,7.81,10684.00
TN,Tennessee,12.18,15.05,2020-2021,2017-2018,52871.00,46745.00,6126.00,91,14.8,-1.06,10336.00
TX,Texas,1.06,16.19,2021-2022,2017-2018,57641.00,43776.00,13865.00,90,14.5,-1.47,10919.00
UT,Utah,0.54,58.27,2021-2022,2021-2022,57226.00,49686.00,7540.00,87,22.2,0.10,8306.00
VT,Vermont,,11.89,2021-2022,2017-2018,62483.00,84954.00,-22471.00,85,10.1,-18.11,22124.00
VA,Virginia,11.35,30.03,2020-2021,2017-2018,58506.00,49017.00,9489.00,88,12.4,-16.67,12710.00
WA,Washington,,51.68,2019-2020,2019-2020,79388.00,52649.00,26739.00,81,16.9,0.52,15642.00
WV,West Virginia,39.46,18.07,2021-2022,2017-2018,50261.00,50412.00,-151.00,91,13.6,-6.14,12875.00
WI,Wisconsin,30.9,16.22,2021-2022,2017-2018,59992.00,53239.00,6753.00,90,14.7,3.91,13046.00
WY,Wyoming,,19.45,2020-2021,2020-2021,60234.00,57705.00,2529.00,82,12.4,-1.57,16940.00
